Timestamp,Email Address,Game,Severity,Consistency,Fix Status,Description,Assigned Technician,Work Log,Owner Notified,Email of owner,Owner Comments/Plans to Address,Last Updated,
5/29/2025 20:40:02,timfroehlich@example.com,TNG,Major,Always,Fixed,"Won't let you start a game, shuttle mech keeps spinning and.banging",,,,,,,,
6/16/2025 19:21:40,keith.johnson@example.com,JDJP,Major,Always,Fixed,Test,,,,,,,,
6/8/2025 0:00:00,,Revenge from Mars,,,Not to be Fixed,Reported that Capture Switch is not always registering; noted that it needs to be hit once to light lock and then again to lock ball; Scoop not predictable (there is a mod that exists),,,,,Steve Kordek is aware of issue. Only a mod can fix it,,
5/18/2025 13:45:12,timfroehlich@example.com,Labyrinth (with topper),Cosmetic,Always,Fixed,Right flipper button is a little sticky,,,,,,,,
5/18/2025 14:04:05,timfroehlich@example.com,Monopoly,Cosmetic,Always,Not to be Fixed,High pitched buzzing from the speakers that occurs when the lights flash on the game,,,,,Jack Danger is aware,,
6/16/2025 22:00:40,mark.ritchie@example.com,Cactus Canyon,Minor,Always,Fixed,"When plunging the ball, the ""skill shot"" cup doesn't register the movement of the ball in the cup and will only select the first thing on screen.  ",Wayne Neyens,,,,Tim Froehlich may not be aware; Wayne Neyens to reach out,,
6/27/2025 20:27:35,keith.elwin@example.com,Flight 2000,Major,Every game,Fixed,Left flipper starting to stick,,,,,,6/30/2025,
6/28/2025 11:26:25,steve.kordek@example.com,Lord of the rings,Severe,Every game,Fixed,Right flipper keeps dying during play,,,,,,,,
6/28/2025 13:00:24,keith.elwin@example.com,World Cup Soccer ,Minor,Always,Not Reproducible,Flipper Alignment,,,,,,,,
6/28/2025 13:04:53,keith.elwin@example.com,Monopoly,Cosmetic,Always,Not to be Fixed,Audio electrical buzzing issue,,,,,,,,
6/21/2025 13:38:25,keith.elwin@example.com,Ultraman,Major,Every game,Not Reproducible,Top right flipper is out,,,Yes -Phil,,,,
6/28/2025 13:15:38,keith.elwin@example.com,Eight Ball Deluxe,Minor,Occasionally,Fixed,"Flippers sticking occasionally, rubbing playfield","Keith Johnson,Pat Lawlor",Keith Johnson and Pat Lawlor fixed and rebuilt flippers,Yes,wayne.neyens@example.com,Keith Johnson is aware; planning to rebuild flipper,6/30/2025 9:32:29,
6/29/2025 13:00:16,keith.elwin@example.com,Labyrinth (w/topper),Minor,Occasionally,Not Reproducible,"Possible Lighting Issues (Barrell Ball, more?)",Ed Boon,Running Diagnostic/Testing,Yes,pat.lawlor@example.com,,6/30/2025 12:36:03,
6/21/2025 13:12:42,keith.elwin@example.com,World Cup Soccer,Cosmetic,Always,Not to be Fixed,Backglass lighting is out? it's just kinda dim,Keith Johnson,,,,,6/30/2025 19:14:29,
6/8/2025 0:00:00,,Stingray,Cosmetic,Occasionally,Not Reproducible,Extra Ball Light flickering,,Ed Boon,,,,,7/1/2025 18:56:33
6/30/2025 12:15:36,keith.elwin@example.com,Ultraman,Major,Every game,Fixed,Left inlane subway flap is stuck in the up position,"Ed Boon,Steve Kordek",Steve Kordek,"""I stopped by yesterday briefly and reset the servo. 
I didn’t have time to replace the Baltan sculpts / servos 
on the left ramp though.""  - Ed Boon",Yes,jack.danger@example.com,,7/4/2025 23:27:23
6/8/2025 0:00:00,,STARS,Minor,Every game,Fixed,Right spinner resting in horizontal position; Right Side of Pop not Registering,,Ed Boon,,,,,7/4/2025 23:28:26
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,7/4/2025
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,7/4/2025
